# wheel sector station super_layer layer wire local_x local_y local_z global_x global_y global_z phi eta length
-2 1 1 1 3 32 27.8000 0.0000 11.1000 420.0750 66.9200 -533.3500 0.1580 -1.0500 234.8000
-2 1 1 1 3 33 32.0000 0.0000 11.1000 420.0750 71.1200 -533.3500 0.1677 -1.0487 234.8000
-2 1 1 1 3 34 36.2000 0.0000 11.1000 420.0750 75.3200 -533.3500 0.1774 -1.0474 234.8000
-2 1 1 1 3 35 40.4000 0.0000 11.1000 420.0750 79.5200 -533.3500 0.1871 -1.0460 234.8000
-2 1 1 1 3 36 44.6000 0.0000 11.1000 420.0750 83.7200 -533.3500 0.1967 -1.0446 234.8000
-2 1 1 1 3 37 48.8000 0.0000 11.1000 420.0750 87.9200 -533.3500 0.2063 -1.0430 234.8000
-2 1 1 1 3 38 53.0000 0.0000 11.1000 420.0750 92.1200 -533.3500 0.2159 -1.0414 234.8000
-2 1 1 1 3 39 57.2000 0.0000 11.1000 420.0750 96.3200 -533.3500 0.2254 -1.0398 234.8000
-2 1 1 1 3 40 61.4000 0.0000 11.1000 420.0750 100.5200 -533.3500 0.2349 -1.0381 234.8000
-2 1 1 1 3 41 65.6000 0.0000 11.1000 420.0750 104.7200 -533.3500 0.2443 -1.0363 234.8000
-2 1 1 1 3 42 69.8000 0.0000 11.1000 420.0750 108.9200 -533.3500 0.2537 -1.0344 234.8000
-2 1 1 1 3 43 74.0000 0.0000 11.1000 420.0750 113.1200 -533.3500 0.2630 -1.0325 234.8000
-2 1 1 1 3 44 78.2000 0.0000 11.1000 420.0750 117.3200 -533.3500 0.2723 -1.0305 234.8000
-2 1 1 1 3 45 82.4000 0.0000 11.1000 420.0750 121.5200 -533.3500 0.2816 -1.0285 234.8000
-2 1 1 1 3 46 86.6000 0.0000 11.1000 420.0750 125.7200 -533.3500 0.2908 -1.0264 234.8000
-2 1 1 1 3 47 90.8000 0.0000 11.1000 420.0750 129.9200 -533.3500 0.2999 -1.0242 234.8000
-2 1 1 1 3 48 95.0000 0.0000 11.1000 420.0750 134.1200 -533.3500 0.3090 -1.0220 234.8000
-2 1 1 1 3 49 99.2000 0.0000 11.1000 420.0750 138.3200 -533.3500 0.3181 -1.0198 234.8000
-2 1 1 1 4 2 -100.3000 0.0000 9.8000 421.3750 -61.1800 -533.3500 -0.1442 -1.0492 234.8000
-2 1 1 1 4 3 -96.1000 0.0000 9.8000 421.3750 -56.9800 -533.3500 -0.1344 -1.0503 234.8000
-2 1 1 1 4 4 -91.9000 0.0000 9.8000 421.3750 -52.7800 -533.3500 -0.1246 -1.0513 234.8000
-2 1 1 1 4 5 -87.7000 0.0000 9.8000 421.3750 -48.5800 -533.3500 -0.1148 -1.0522 234.8000
